selected_permaculture_blogs
Website name;URL;Language;Country;AuthorType;PostsCollected
Permaculture Apprentice Blog;https://permacultureapprentice.com;EN;Europe;Individual;
Permaculture Association Blog;https://blog.permaculture.org.uk;EN;UK;Organization;
Milkwood Blog;https://www.milkwood.net/blog;EN;International;Organization;
Deep Green Permaculture Blog;https://deepgreenpermaculture.com/blog;EN;UK;Organization;
Permaculture Principles Blog;https://permacultureprinciples.com;EN;Global;Org/Collective;
Permaculture Visions;https://permaculturevisions.com;EN;UK;Individual;
Gwenfar’s Garden;https://gwenfarsgarden.info;EN;UK;Individual;
Sara Backmo Blog;https://sarabackmo.com/blog/;EN;Sweden;Individual;
Terra do Milho;https://terradomilho.eu;EN/FR;Portugal;Individual;
Keela Permaculture Farm;https://www.keelayogafarm.com/blog/;EN;Portugal;Couple/Org;
Holzer Permaculture;https://seppholzer.at/en/;EN/DE;Austria;Individual;
The Middlewood Trust;https://www.middlewood.org.uk;EN;UK;Organization;
Permaculture Magazine;https://www.permaculture.co.uk/articles/;EN;UK;Publisher;
European Permaculture Network;https://permaculture-network.eu/blog;EN;Europe;Network;
Social Landscape;https://www.sociallandscapes.co.uk/blog;EN;UK;Organization;
